Wed Mar 22 22:04:18 2023    output.dat

         10665188 function calls (10664917 primitive calls) in 3.923 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      127    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      115    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      103    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      100    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      100    0.004    0.000    0.004    0.000 {method 'close' of '_io.BufferedRandom' objects}
      100    0.002    0.000    0.002    0.000 {method 'flush' of '_io.BufferedRandom' objects}
      100    0.007    0.000    0.007    0.000 {built-in method io.open}
      100    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/PngImagePlugin.py:1039(__init__)
      100    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/PIL/PngImagePlugin.py:1043(write)
      100    0.001    0.000    0.011    0.000 /usr/lib/python3/dist-packages/PIL/PngImagePlugin.py:1191(_save)
      100    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/ImageFile.py:70(_tilesort)
      100    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/PIL/ImageFile.py:476(_save)
      100    0.001    0.000    0.004    0.000 {built-in method numpy.asarray}
      100    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
      100    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_encoder}
      100    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingEncoder' objects}
      100    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/_util.py:5(isPath)
      100    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:117(splitext)
      100    0.000    0.000    0.000    0.000 /usr/lib/python3.10/genericpath.py:121(_splitext)
      100    0.471    0.005    0.674    0.007 /home/julian/Documents/Lava/benchmarking/space.py:187(gridToPixels)
      100    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:242(_conv_type_shape)
      100    0.000    0.000    0.008    0.000 /usr/lib/python3/dist-packages/PIL/Image.py:314(preinit)
      100    0.105    0.001    0.151    0.002 /home/julian/Documents/Lava/benchmarking/space.py:139(clearGrid)
